Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
1856,34,106,0.04,0.45,-0.26,1.3544519447316625
409,15,84,0.04,0.5,-0.23,1.3543048777154814
1463,29,88,0.04,0.46,-0.27,1.3540879262539927
663,18,113,0.04,0.49,-0.22,1.3540572354915823
2096,37,121,0.04,0.43,-0.3,1.353906090671319
1758,33,83,0.04,0.45,-0.26,1.3538768655082685
803,20,103,0.04,0.47,-0.2,1.3538017057005234
95,11,70,0.04,0.51,-0.18,1.353790665377505
1855,34,105,0.04,0.44,-0.26,1.3536761435175255
1872,34,122,0.04,0.43,-0.3,1.3535876332185675
2215,39,90,0.04,0.44,-0.26,1.3533127518595727
80,11,55,0.04,0.5,-0.16,1.352892996101794
625,18,75,0.04,0.49,-0.25,1.352891626963019
662,18,112,0.04,0.49,-0.22,1.3526943193008512
1400,28,100,0.04,0.46,-0.23,1.352609418341423
2651,45,76,0.04,0.43,-0.26,1.3525981694794442
191,12,91,0.04,0.52,-0.18,1.3523728845151683
1241,26,91,0.04,0.46,-0.26,1.352327660446191
1242,26,92,0.04,0.46,-0.26,1.352327660446191
1240,26,90,0.04,0.46,-0.26,1.352327660446191
2360,41,85,0.04,0.43,-0.26,1.352299353538224
474,16,74,0.04,0.49,-0.25,1.3518492064897434
1861,34,111,0.04,0.42,-0.3,1.3517160228310348
2870,48,70,0.04,0.43,-0.26,1.3516666586945227
892,21,117,0.04,0.47,-0.25,1.3516117621352501
781,20,81,0.04,0.48,-0.22,1.351605398943341
1344,27,119,0.04,0.45,-0.26,1.3516048488583994
1382,28,82,0.04,0.46,-0.25,1.3513780865143903
2286,40,86,0.04,0.43,-0.26,1.3512126151965351
601,18,51,0.04,0.47,-0.2,1.35115143442311
2427,42,77,0.04,0.43,-0.26,1.3510447649288027
1315,27,90,0.04,0.46,-0.27,1.3510365813331768
1635,31,110,0.04,0.44,-0.26,1.3506203757582664
470,16,70,0.04,0.48,-0.27,1.3504678755949318
2434,42,84,0.04,0.43,-0.26,1.3503693590689503
1399,28,99,0.04,0.46,-0.23,1.3502719129765557
2725,46,75,0.04,0.43,-0.26,1.3502488170235694
319,14,69,0.04,0.49,-0.24,1.3502313275441589
26,10,76,0.04,0.53,-0.17,1.3502217845300575
1024,23,99,0.04,0.47,-0.23,1.3499781378999103
1459,29,84,0.04,0.46,-0.27,1.3497404062729217
2302,40,102,0.04,0.42,-0.3,1.3496897996787283
2376,41,101,0.04,0.42,-0.3,1.3496897996787283
2873,48,73,0.04,0.43,-0.26,1.3496717504173137
876,21,101,0.04,0.47,-0.21,1.3495401474572999
724,19,99,0.04,0.47,-0.22,1.3494665700003083
2579,44,79,0.04,0.43,-0.26,1.3490881743868293
2217,39,92,0.04,0.43,-0.26,1.349080485032669
2576,44,76,0.04,0.43,-0.26,1.3490326221185016
835,21,60,0.04,0.47,-0.24,1.349010249107826
1313,27,88,0.04,0.46,-0.27,1.3489531072064682
